INVENTARIO,PRODUCTO,PESO,$ PUBLICO,$ PROV,PUNTO DE VENTA,,,,
5,POLLO ENTERO,2.42,,"$464,64",RENACER,,,,
9,POLLO ENTERO,2.435,"$560,05","$467,52",PAG. WEB,,,,
10,POLLO ENTERO,2.040," $469,20 "," $391,68 ",PAG. WEB,,,,
11,POLLO ENTERO,"1,445"," $332,35 "," $277,44 ",PAG. WEB,,,,
5,POLLO ENTERO,"2,29"," $526,70 ",,PAG. WEB,,,,
6,POLLO ENTERO,"2,095"," $481,85 ",,PAG. WEB,,,,
7,POLLO ENTERO,"2,34"," $538,20 ",,PAG. WEB,,,,
1,POLLO ENTERO,"2,385",," $414,99 ",RENACER,,,,
2,POLLO ENTERO,"2,62",," $455,88 ",RENACER,,,,
3,POLLO ENTERO,"2,59",," $450,66 ",RENACER,,,,
4,POLLO ENTERO,"2,515",," $437,61 ",RENACER,,,,
5,POLLO ENTERO,"2,49",," $433,26 ",RENACER,,,,
6,POLLO ENTERO,"2,195",," $381,93 ",RENACER,,,,
7,POLLO ENTERO,"2,49",," $433,26 ",RENACER,,,,
8,POLLO ENTERO,"2,635"," $606,05 ",,PAG. WEB,,,,
9,POLLO ENTERO,"2,603"," $598,69 ",,PAG. WEB,,,,
10,POLLO ENTERO,"2,51"," $577,30 ",,PAG. WEB,,,,
1,POLLO ENTERO,"1,9",,"$330,60",SOLAR,,,,
2,POLLO ENTERO,"1,94",," $337,56 ",SOLAR,,,,
3,POLLO ENTERO,"2,185",," $380,19 ",SOLAR,,,,
4,POLLO ENTERO,"2,88",," $501,12 ",SOLAR,,,,
5,POLLO ENTERO,"2,55",," $443,70 ",SOLAR,,,,
6,POLLO ENTERO,"2,285",," $397,59 ",SOLAR,,,,
7,POLLO ENTERO,"2,63",," $457,62 ",SOLAR,,,,
8,POLLO ENTERO,"2,34",," $407,16 ",SOLAR,,,,
9,POLLO ENTERO,"2,425",," $421,95 ",SOLAR,,,,
10,POLLO ENTERO,"2,595",," $451,53 ",SOLAR,,,,
11,POLLO ENTERO,"2,375",," $413,25 ",SOLAR,,,,
12,POLLO ENTERO,"2,68",," $466,32 ",SOLAR,,,,
13,POLLO ENTERO,"2,49",," $433,26 ",SOLAR,,,,
14,POLLO ENTERO,"2,7",," $469,80 ",SOLAR,,,,
15,POLLO ENTERO,"2,54",," $441,96 ",SOLAR,,,,
8,MEDIO POLLO,"1,06"," $243,80 "," $203,52 ",RENACER,,,,
1,MEDIO POLLO,1,, $ 142.63 ,RENACER,,,,
1,MEDIO POLLO,"1,045",," $182,88 ",RENACER,,,,
2,MEDIO POLLO,"1,09",," $190,75 ",RENACER,,,,
3,MEDIO POLLO,"1,365",," $238,88 ",RENACER,,,,
4,MEDIO POLLO,"1,145",,"$200,38",RENACER,,,,
5,MEDIO POLLO,"1,485",," $259,88 ",RENACER,,,,
6,MEDIO POLLO,"1,285"," $295,55 ",,PAG. WEB,,,,
7,MEDIO POLLO,"1,29"," $296,70 ",,PAG. WEB,,,,
8,MEDIO POLLO,"1,14"," $262,20 ",,PAG. WEB,,,,
9,MEDIO POLLO,"1,225"," $281,75 ",,PAG. WEB,,,,
3,POLLO PARTIDO,"2,175"," $543,75 ",,PAG. WEB,,,,
5,POLLO PARTIDO,"1,84"," $460,00 ",,PAG. WEB,,,,
1,POLLO PARTIDO,"2,125",," $414,38 ",RENACER,,,,
2,POLLO PARTIDO,"2,115",," $412,43 ",RENACER,,,,
3,POLLO PARTIDO,"2,13",," $415,35 ",RENACER,,,,
7,POLLO PARTIDO,"2,3"," $552,00 ",,PAG. WEB,,,,
1,POLLO PARTIDO,"2,43",," $473,85 ",RENACER,,,,
2,POLLO PARTIDO,"2,36",," $460,20 ",RENACER,,,,
3,POLLO PARTIDO,"2,6",," $507,00 ",RENACER,,,,
4,POLLO PARTIDO,"2,295",," $447,53 ",RENACER,,,,
5,POLLO PARTIDO,"2,79",," $544,05 ",RENACER,,,,
6,POLLO PARTIDO,"2,38",," $464,10 ",RENACER,,,,
7,POLLO PARTIDO,"2,44",," $475,80 ",RENACER,,,,
8,POLLO PARTIDO,"2,395",,"$467,03",RENACER,,,,
9,POLLO PARTIDO,"2,56",," $499,20 ",RENACER,,,,
10,POLLO PARTIDO,"2,445",," $476,78 ",RENACER,,,,
11,POLLO PARTIDO,"2,29"," $549,60 ",,PAG. WEB,,,,
12,POLLO PARTIDO,"2,82"," $676,80 ",,PAG. WEB,,,,
13,POLLO PARTIDO,"2,655"," $637,20 ",,PAG. WEB,,,,
14,POLLO PARTIDO,"2,255"," $541,20 ",,PAG. WEB,,,,
15,POLLO PARTIDO,"2,75"," $660,00 ",,PAG. WEB,,,,
1,POLLO PARTIDO,"2,24",," $436,80 ",RENACER,,,,
2,POLLO PARTIDO,"2,635",," $513,83 ",RENACER,,,,
3,POLLO PARTIDO,"2,79",,"$544,05",RENACER,,,,
4,POLLO PARTIDO,"2,655","$637,20",,PAG WEB,,,,
5,POLLO PARTIDO,"2,86","$686,40",,PAG WEB,,,,
9,PECHUGA,845,"$360,85"," $288,85 ",RENACER,,,,
10,PECHUGA,815,"$360,82"," $288,82 ",RENACER,,,,
13,PECHUGA,785,"$360,79"," $288,79 ",RENACER,,,,
14,PECHUGA,625,"$360,63"," $288,63 ",PAG. WEB,,,,
15,PECHUGA,685,"$360,69"," $288,69 ",PAG. WEB,,,,
16,PECHUGA,"0,75"," $360,75 "," $288,75 ",PAG. WEB,,,,
18,PECHUGA,665," $360,67 "," $288,67 ",PAG. WEB,,,,
22,PECHUGA,"0,65"," $360,65 "," $288,65 ",RENACER,,,,
25,PECHUGA,"0,7","$360,70","$288,70",RENACER,,,,
26,PECHUGA,"0,67"," $360,67 "," $288,67 ",RENACER,,,,
27,PECHUGA,785," $360,79 "," $288,79 ",RENACER,,,,
27,PECHUGA,"0,66"," $360,66 "," $288,66 ",PAG. WEB,,,,
30,PECHUGA,645," $360,65 "," $288,65 ",PAG. WEB,,,,
3,PECHUGA,"0,85"," $306,00 ",,PAG. WEB,,,,
1,PECHUGA,"0,98",," $282,24 ",RENACER,,,,
2,PECHUGA,985,," $283,68 ",RENACER,,,,
3,PECHUGA,"0,99",," $285,12 ",RENACER,,,,
4,PECHUGA,995,," $286,56 ",RENACER,,,,
5,PECHUGA,"0,96",,"$276,48",RENACER,,,,
6,PECHUGA,"0,83",," $239,04 ",RENACER,,,,
7,PECHUGA,815,," $234,72 ",RENACER,,,,
8,PECHUGA,"0,78",," $224,64 ",RENACER,,,,
9,PECHUGA,"0,88",," $253,44 ",RENACER,,,,
10,PECHUGA,965,," $277,92 ",RENACER,,,,
11,PECHUGA,"0,9","$324,00",,PAG. WEB,,,,
12,PECHUGA,965,"$347,40",,PAG. WEB,,,,
13,PECHUGA,"1,04","$374,40",,PAG. WEB,,,,
14,PECHUGA,"0,86","$309,60",,PAG. WEB,,,,
15,PECHUGA,"1,04","$374,40",,PAG. WEB,,,,
16,PECHUGA,815,"$293,40",,PAG. WEB,,,,
17,PECHUGA,"0,86","$309,60",,PAG. WEB,,,,
18,PECHUGA,"0,79","$284,40",,PAG. WEB,,,,
19,PECHUGA,"1,135","$408,60",,PAG. WEB,,,,
20,PECHUGA,"1,015","$365,40",,PAG. WEB,,,,
21,PECHUGA,"0,9","$365,41",,PAG WEB,,,,
22,PECHUGA,975,"$365,42",,PAG WEB,,,,
23,PECHUGA,985,"$365,43",,PAG WEB,,,,
24,PECHUGA,"0,84","$365,44",,PAG WEB,,,,
25,PECHUGA,885,"$365,45",,PAG WEB,,,,
26,PECHUGA,"0,83","$365,46",,PAG WEB,,,,
27,PECHUGA,835,"$365,47",,PAG WEB,,,,
28,PECHUGA,875,"$365,48",,PAG WEB,,,,
#,PRODUCTO,PESO, $ PUBLICO , $ PROV ,CLIENTE,,,,
1,PECHUGAS,0.99,, $ 285.12 ,RENACER,,,,
2,PECHUGAS,0.99,, $ 283.68 ,RENACER,,,,
3,PECHUGAS,0.95,, $ 272.16 ,RENACER,,,,
4,PECHUGAS,1.0,, $ 300.96 ,RENACER,,,,
5,PECHUGAS,0.81,, $ 233.28 ,RENACER,,,,
6,PECHUGAS,0.9,, $ 254.88 ,RENACER,,,,
7,PECHUGAS,0.98,, $ 280.80 ,RENACER,,,,
8,PECHUGAS,0.91, $ 325.80 ,,PAGINA WEB,,,,
9,PECHUGAS,1.21, $ 433.80 ,,PAGINA WEB,,,,
10,PECHUGAS,0.95, $ 340.20 ,,PAGINA WEB,,,,
11,PECHUGAS,0.96, $ 343.80 ,,PAGINA WEB,,,,
12,PECHUGAS,1.12, $ 401.40 ,,PAGINA WEB,,,,
13,PECHUGAS,0.91, $ 327.60 ,,PAGINA WEB,,,,
14,PECHUGAS,0.93, $ 334.80 ,,PAGINA WEB,,,,
15,PECHUGAS,1, $ 376.20 ,,PAGINA WEB,,,,
16,PECHUGAS,1.09, $ 392.40 ,,PAGINA WEB,,,,
17,PECHUGAS,0.89, $ 320.40 ,,PAGINA WEB,,,,
18,PECHUGAS,1.11, $ 399.60 ,,PAGINA WEB,,,,
19,PECHUGAS,1.1, $ 397.80 ,,PAGINA WEB,,,,
20,PECHUGAS,1.1, $ 387.00 ,,PAGINA WEB,,,,
21,PECHUGAS,0.9, $ 318.60 ,,PAGINA WEB,,,,
22,PECHUGAS,1.0, $ 376.20 ,,PAGINA WEB,,,,
23,PECHUGAS,1.0, $ 363.60 ,,PAGINA WEB,,,,
24,PECHUGAS,0.9, $ 340.20 ,,PAGINA WEB,,,,
25,PECHUGAS,1.1, $ 381.60 ,,PAGINA WEB,,,,
26,PECHUGAS,0.9, $ 307.80 ,,PAGINA WEB,,,,
26,PECHUGAS,1.0, $ 356.40 ,,PAGINA WEB,,,,
28,PECHUGAS,1, $ 318.60 ,,PAGINA WEB,,,,
#,PRODUCTO,PESO, $ PUBLICO , $ PROV ,CLIENTE,,,,
8,PIERNA Y MUSLO,725," $210,25 ",,PAG. WEB,,,,
